question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice,,,,,,,,,,,,,,,
"The truth value of the statement $(p \rightarrow q) \vee p$ is false, when",,moderate," It is a basic Tautology, the answer can never be false \begin{tabular}{|c|c|c|c|}
\hline$p$ & $q$ & $p \rightarrow q$ & $(p \rightarrow q) \vee p$ \\
\hline $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ \\
\hline $\mathrm{T}$ & $\mathrm{F}$ & $\mathrm{F}$ & $\mathrm{T}$ \\
\hline $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ & $\mathrm{T}$ \\
\hline $\mathrm{F}$ & $\mathrm{F}$ & $\mathrm{T}$ & $\mathrm{T}$ \\
\hline
\end{tabular}",,85,") $p$ is true, $q$ is false","$\mathrm{p}$ is true, $\mathrm{q}$ is true","$\mathrm{p}$ is false, $\mathrm{q}$ is true",none of these,4,,,,,,,,,,,,,,,
The inverse of $A \rightarrow B$ is,,easy,Definition of inverse,,85,\mathrm{B} \rightarrow \mathrm{A},\sim A \rightarrow \sim B,\sim B \rightarrow \sim A,A \rightarrow \sim B,2,,,,,,,,,,,,,,,
The contra positive of $\sim \mathrm{B} \rightarrow \sim \mathrm{A}$ is,,easy,Definition of contrapositive,,85,A \rightarrow B,\mathrm{B} \rightarrow \mathrm{A},A \rightarrow \sim B,^{\sim} A \rightarrow B,1,,,,,,,,,,,,,,,
\sim \mathrm{B} \rightarrow \sim \mathrm{A} \text { is converse of },,easy,Definition of converse,,85,A \rightarrow B,\mathrm{B} \rightarrow \mathrm{A},^{\sim} A \rightarrow B,\sim B \rightarrow \sim A,4,,,,,,,,,,,,,,,
"The inverse of the function \{(1,3),(2,1),(4,5)\} is",,easy,The x and y values of relation are interchanged in inverse.,,85,"\{(3,1),(2,1),(4,5)\}","\{(1,3),(2,1),(5,4)\}","\{(3,1),(1,2),(5,4)\}","\{(3,1),(2,1),(5,4)\}",3,,,,,,,,,,,,,,,
"Which of the following statement cannot be true?
(I) inverse of a function is always function 
(II) inverse of a line is line 
(III) inverse of injective function is function",,moderate,Inverse of a function is not necessarily a function.,,85,I only,II only,I and II only,I and III only,4,,,,,,,,,,,,,,,
"The set $\{1,-1, i,-i\}$ is group w.r.t",,easy,"it holds all the properties under multiplication \begin{tabular}{|c|c|c|c|c|}
\hline$\times$ & 1 & -1 & $i$ & $-i$ \\
\hline 1 & 1 & -1 & $i$ & $-i$ \\
\hline-1 & -1 & 1 & $-i$ & $i$ \\
\hline$i$ & $i$ & $-i$ & -1 & 1 \\
\hline$-i$ & $-i$ & $i$ & 1 & -1 \\
\hline
\end{tabular}",,85,$+$,$-$,\times,all of these,2,,,,,,,,,,,,,,,
A semi group is monoid if,,easy,the definition of monoid,,85,It has identity,it is closed,it holds associative property,it has inverse property,1,,,,,,,,,,,,,,,
Which of the following is not monoid w.r.t addition?,,easy,Natural numbers does not have additive identity “0”.,,85,Z,W,N,R,3,,,,,,,,,,,,,,,
"The order of the group $(A,+)$ is $\quad$ if $A=\{0,+1,+2,+3 \dots\}$",,moderate,Order is the number of element. The set A has infinite element so its order will be infinity,,85,4,3,8,none of these,4,,,,,,,,,,,,,,,
Which of the following is true?,,easy,the elements of equal set can be in any order.,,85,"\{1,2\}=\{2,1\}",a \in\{\{a\}\},a \subseteq\{a\},\{a\} \subseteq\{\{a\}\},1,,,,,,,,,,,,,,,
"Let $S$ be a non-empty set. Then what is the identity element of $(p(S), \cap)$ ?",,moderate,"every element of power set is a subset of S, so intersection of subset with power set will result in the subset.",,85,P(S),empty set,Set S itself,no identity,3,,,,,,,,,,,,,,,
(A-B) \cup B=?,,easy,Basic Concept,,85,A,B,$A-B$,\mathcal{A} \cup B,1,,,,,,,,,,,,,,,
"\text { Let } U=\{1,2,3, \cdots, 10\}, A=\{1,2,5\}, B=\{6,7\} \text { then } A \cap B^{\prime}=?",,easy,"B^{\prime}=\{1,2,3,4,5,8,9,10\}, \quad A \cap B^{\prime}=\{1,2,5\}",,85,B',B,A,A',3,,,,,,,,,,,,,,,
If $A \& B$ are any two sets then which of the following is always true?,,easy,The intersection of two sets is always subset of their union.,,85,A \cup B \subseteq A \cap B,A \cap B \subset A \cup B,A \cup B=A \cap B,all of these,2,,,,,,,,,,,,,,,
"\text { Let } A=\{1,2,3,4,5\}, B=\{1,2\} \text { then } A \backslash(A \backslash B)=?",,moderate,"The operator \ means relative complement. First complement is of $A$
W.r.t B, then of A w.r.t AlB.
\[
A \backslash B=\{3,4,5\}, \quad A \backslash(A \backslash B)=\{1,2\}
\]",,85,$\phi$, $A$, $B$,$A \cup B$,3,,,,,,,,,,,,,,,
If $A \& B$ are any two sets then $A \cap(B \backslash A)=?$,,moderate,"The complement of B relative to A will leave no entry of A set, so the intersection will be Empty Set.",,85,$\phi$, $A$, $B$,$A \cup B$,1,,,,,,,,,,,,,,,
If $A \& B$ are any two sets then $A \cup B=A \cap B$ iff,,easy,"union and intersection is same for only equal sets.",,85,A \subset B,B \subset A,$A=B$,all of these,3,,,,,,,,,,,,,,,
"\text { If } A=\{a, b, c\}, B=\{2,6,10\} \text { then } n(A \times B)=?",,easy,"The elements in relation of sets $A \times B$ is product of elements of $A$ and $B$ $n(A)=3, n(B)=3, \quad n(A \times B)=n(A) \times n(B)=3(3)=9$",,85,6,9,12,18,2,,,,,,,,,,,,,,,
A \cap(A \cup B)^{\prime}=?,,easy,"The complement include no entry of A or B, so the intersection will be empty set.",,85,$A$,$B$,$\phi$,$A \cap A^{\prime}$,3,,,,,,,,,,,,,,,
"Which of the following is the number of elements in set  such that
A \cup\{1,2\}=\{1,2,3,5,9\}",,easy,"Set ‘A’ can have equal number of entries as the resultant set as long as it includes \{3,5,9\}",,85,3,5,4,All of these,2,,,,,,,,,,,,,,,
"\( \quad \) If \( n(A)=3, n(B)=6 \) and \( A \subset B \) then \( n(A \cup B)=? \)",,easy,Union of a Set and its Subset includes the entries of Set itself. \[n(A \cup B)=n(A)+n(B)-n(A \cap B)=3+6-3=6\],,85,3,9,6,8,3,,,,,,,,,,,,,,,
In a group of people 60 \% like chocolate and 70 \% like strawberry then percentage of people who like both chocolate and strawberry is:,,moderate,\( P(A \cap B)=P(A)+P(B)-100 \%=60 \%+70 \%-100 \%=30 \% \),,85,30\%,60\%,10\%,40\%,1,,,,,,,,,,,,,,,
\( \quad B-A \) is a subset of,,easy,The set \( B-A \) will have some or all entries of B.,,85,\( A \),\( \mathrm{B} \),\( A-B \),\( A \cap B \),2,,,,,,,,,,,,,,,
"If \( x \in A \cup B, \) then",,easy,element \( x \) is part of either \( \mathrm{A} \) or \( \mathrm{B} \) in case of union of sets.,,85,\( x \in A \wedge x \in B \),\( x \in A \) but \( x \notin B \),\( x \notin A \) but \( x \in B \),\( x \in A \vee x \in B \),4,,,,,,,,,,,,,,,
n(A \cap B)=10 \) then \( n(A \cup B)=? \),,moderate,"for two overlapping sets, \( n(A \cup B)=n(A)+n(B)-n(A \cap B) \)",,85,16,26,36,6,2,,,,,,,,,,,,,,,
"\( \quad A-B=B-A \), if and only if __________",,easy,The subtraction will generate a null set,,85,\( A \subseteq B \),\( B \subseteq A \),\( A=B \),\( A=\varphi \),3,,,,,,,,,,,,,,,
\( \quad B-A \) __________\( A^{\prime} \),,easy,Basic Point,,85,\( = \),\( \supset \),\( \subseteq \),None of these,3,,,,,,,,,,,,,,,
"\( \quad \) If \( A=\{1,2\}, B=\{3,4\} \) then \( 1 \notin \)___________",,easy,\( \quad 1 \) belongs to rest of the sets and it does not belong to \( \mathrm{B} \) only.,,85,\( A \),\( \mathrm{B} \),\( A \cup B \),\( A-B \),2,,,,,,,,,,,,,,,
$A\times B = B\times A$ iff _____________,,moderate,"in case of relations, the elements of only equal sets hold closure law.",,85,$A\subset B$,$B\subset A$,$A=B$,None of these,3,,,,,,,,,,,,,,,
If a set A has 3 elements and B has 6 elements such that   $A\subseteq B$ then the number of elements in $A\cap B=?$ ,,easy,"for  $A\subseteq B$ , $n(A\cap B)$=n(A)",,85,3,9,6,12,1,,,,,,,,,,,,,,,
Which of the following operation is NOT commutative?,,moderate,It does not have both ‘x’ and ‘y’ on both sides of equality,,85,$x\ast y=2xy$,$x\ast y=x+y$,$x\ast y=2x$,$x\ast y=2x+2y$,3,,,,,,,,,,,,,,,
Which of the following is NOT a group w.r.t multiplication?,,easy,There is no inverse of  '0' in any of the sets since it is undefined.,,85,Z,R,Q,All of these,4,,,,,,,,,,,,,,,
"If $G=\{1,3,5,7\}$ is group under multiplication modulo 8 then inverse of 5 is __________ ",,easy,"for the elements to be group, 1 and 7, 3 and 5 are inverses of each other.",,85,7,3,5,None of these,3,,,,,,,,,,,,,,,
Which of the following is square root function?,,moderate,"For a function, the answer should be real and existent, (b) and (d) are quadratic, while (a) can result in imaginary if                     is negative",,85,$y=\sqrt{x}$,$y^{2}=x$,"$y=\sqrt{x}, x \geq 0$","$y^{2}=x, x \in R$",3,,,,,,,,,,,,,,,
Truth set of $P \wedge q$ is ____________,,easy,The operator  $' \wedge '$ is “AND” operator and it acts same as intersection.,,85,$P\cup Q$,$P \cap Q$,$P^{\prime} \cap Q$,$P \cup Q^{\prime}$,2,,,,,,,,,,,,,,,
