question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
Waves are transmitted from antenna in the form of,,easy, Electromagnetic waves is used to transmit signal at very high speed equal to speed of light,,41,Radio waves,Electromagnetic Waves,Sound waves,Modulated Waves,,,,,2,,,,,,,
"The direction of propagation of electromagnetic wave is",,easy,In an electromagnetic wave both electric and magnetic field travel perpendicular to each other.,,41,Parallel to electric and magnetic field,"Perpendicular to electric and magnetic field",Parallel to electric field,Parallel to magnetic field,,,,,2,,,,,,,
When the frequency of the oscillator in RLC series circuit is doubled ,,difficult,"We know that
\[
\begin{array}{l}
\mathrm{X}_{\mathrm{C}}=\mathrm{X}_{\mathrm{L}} \\
\mathrm{X}_{\mathrm{C}}=\mathrm{wL} \\
\mathrm{X}_{\mathrm{C}}=2 \pi \mathrm{fL} \\
\mathrm{f}=\mathrm{X}_{\mathrm{C}} / 2 \pi \mathrm{L}
\end{array}
\]
So if we double the capacitive reactance the frequency will also become double",,41,the capacitive reactance is doubled,the capacitive reactance is halved,the current amplitude is halved,the impedance is doubled,,,,,2,,,,,,,
 In RLC parallel circuit the voltage drop across capacitor and inductor is,,easy,Voltage remains same for the component connected in parallel.,,41,V_{c}<V_{L},Different,V_{c}>V_{L},same,,,,,4,,,,,,,
Ammeter measure ______ value of current in AC circuit,,easy,Ammeter shows the root mean square (RMS) value of current,,41,Exact value,RMS,Net value,Peak value,,,,,2,,,,,,,
Impedance of RLC series is increased if,,moderate,"We know that
\[
\begin{array}{l}
\left.Z=\sqrt{(}(R)^{2}\left(X_{c}\right)^{2}\left(X_{L}\right)^{2}\right) \\
\left.Z=\sqrt{(}(R)^{2}(1 / w C)^{2}(w L)^{2}\right)
\end{array}
\]
Where $Z$ is the impedance $C$ and $L$ is capacitance and inductance respectively
From above we can conclude that
$Z \propto L$
Hence impedance increases with increase in inductances",,41,L increase   ,C increase,L decrease,R decrease,,,,,1,,,,,,,
The capacitor of capacitance 100uF connected in series with voltage source of 12V operating at 50 Hz frequency. What is the reactance of capacitor?,,moderate,"We know that $\mathrm{X}_{\mathrm{C}}=1 / \mathrm{wC}$
\[
\mathrm{X}_{\mathrm{C}}=1 / 2 \pi \mathrm{f} \mathrm{C}
\]
Putting values
\[
\mathrm{X}_{\mathrm{C}}=32 \text { ohms }
\]",,41,32 ohm,60ohm,50ohm,100ohm,,,,,1,,,,,,,
In capacitive circuit the current _________,,easy,Current leads voltage by an angle of 90 in capacitive circuit.,,41,lag behind voltage by 90,is in phase with voltage,opposite in phase of voltage,leads the voltage by 90,,,,,4,,,,,,,
The power factor of AC circuit,,easy,$PF= cos\theta$,,41,cos\theta,VI cos\theta,sin\theta,cos\theta/2,,,,,1,,,,,,,
In pure resistive circuit the voltage and current are,,easy,There is no phase difference between voltage and current in resistive circuit,,41,lagging each other,in phase,leading at home,at 90 phase difference,,,,,2,,,,,,,
The rms value of an AC current is,,easy,Definition of Root Mean Square value,,41,its average value,its peak value,that steady current that produces the same rate of heating in a resistor as of actual current,that steady current that will charge a battery at the same rate as of actual current,,,,,3,,,,,,,
 The rms value of current in AC circuit is 4A flows through the resistor of 10 ohm. The peak value will be,,moderate,"We know that
\[
\begin{array}{l}
\mathrm{V}(\text { peak })=\sqrt{2} \times \mathrm{V}(\mathrm{RMS}) \\
\mathrm{V}(\text { peak })=\sqrt{2} \times 4 \\
\mathrm{V}(\text { peak })=5.66 \mathrm{V}
\end{array}
\]",,41,20A,5.66A,6.60A,20.66A,,,,,2,,,,,,,
In order to find the rms value we need to have,,easy,Definition of Root Mean Square value,,41,Square value of I^2,square root of mean value of I^2,Mean value of I^2,"square of I/2",,,,,2,,,,,,,
"$\mathrm{An}$
AC current is given as $I=50 sin100\pi{t}$. It will achieve value of 25 A after______
seconds",,difficult,"\begin{array}{l}
I=50 \sin 100 \pi t \\
I=25 \text { when } \\
\sin 100 \pi t=1 / 2 \\
100 \pi t=30 \\
100 \times 180 t=30 \\
t=30 / 18000=1 / 600 \mathrm{sec}
\end{array}",,41,1/300,1/1800,1/600,1/900,,,,,3,,,,,,,
A bulb is connected in series with AC supply. What happen to the brightness of bulb,,easy,As the value of current and voltage changes continuously the brightness of the bulb also changes.,,41,show maximum brightness,change continuously,Remain constant,Decrease and become zero,,,,,2,,,,,,,
"How are the frequencies of two expression are rated
$\mathrm{I}_{1}=100 \cos 100 \pi \mathrm{t}$
$\mathrm{I}_{2}=100 \cos 200 \pi \mathrm{t}$",,difficult,"\[
\begin{array}{l}
\mathrm{f} 1=1 / 100 \pi \\
\mathrm{f} 2=1 / 200 \pi
\end{array}
\]
From here we can see that
\[
\mathrm{f} 2=2 \mathrm{f} 1
\]",,41,f_{1}= f_{2},f_{1}=2 f_{2},2f_{1}= f_{2},f_{1}= 10f_{2},,,,,3,,,,,,,
How many times the value of AC voltage become zero in complete cycle,,easy,"AC voltage become zero in one cycle $=2$
\[
V=V_{0} \sin \theta
\]
The graph of AC voltage is like a sinusoidal.
And we know that sin becomes zero when it has angle 0 and 180
\[
\begin{array}{l}
\sin \theta=0 \\
\theta=0,180
\end{array}
\]",,41,0,4,2,3,,,,,3,,,,,,,
The reactance of inductor at 50hz is 10 ohm. its reactance at 100 Hz is,,moderate,"We know that
\[
\mathrm{X}_{\mathrm{L}}=\mathrm{wL}=2 \pi \mathrm{f} \mathrm{L}
\]
From here we can see that
\[
\mathrm{X}_{\mathrm{L}} \propto \mathrm{f}
\]
By doubling the frequency the reactance also become double",,41,2.5 ohm,20 ohm,5 ohm,10 ohm,,,,,2,,,,,,,
"At what frequency will the inductor of 1.0H have a reactance of 500 ohm?
",,moderate,"We know that
\[
\begin{array}{l}
\mathrm{X}_{\mathrm{L}}=\mathrm{wL}=2 \pi \mathrm{f} \mathrm{L} \\
500=2 \times 3.14 \mathrm\times \mathrm{f}\times{1} \\
\mathrm{f}=80 \mathrm{Hz}
\end{array}
\]",,41,50Hz,70 Hz,60Hz,80 Hz,,,,,4,,,,,,,
"The power factor is zero for",,easy," The phase difference between voltage and current of resistor is zero so
$P F = cos\theta =cos 0 =0$",,41,resistor," capacitor",inductor ,None,,,,,1,,,,,,,
"In a capacitive circuit by decreasing the frequency the reactance will",,moderate,"We know that
\[
\mathrm{X}_{\mathrm{C}}=1 / \mathrm{wC}=1 / 2 \pi \mathrm{f} \mathrm{C}
\]
From above we can see that
\[
\mathrm{X}_{\mathrm{C}} \propto 1 / \mathrm{f}
\]
So frequency decrease, voltage increase and vice versa",,41,Increase,Decrease,Infinite,0,,,,,1,,,,,,,
The response for which one remains the same for AC and DC,,difficult,Capacitor will act as open circuit for DC. Also induced back emf induced in inductor due to the rate of change of magnetic flux. But resistor response is same for both DC and AC,,41,resistor," capacitor",inductor ,None,,,,,1,,,,,,,
AC current and voltage are,,easy,We saw that AC quantities changes its value and direction continuously so it is vector quantity.,,41,Scalar,neither scalar nor vector,Vector,A and C,,,,,3,,,,,,,
The peak to peak value in the following figure is,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p16_Alternating_current/p16q36.PNG,moderate,"So the p to p voltage formula is
V(pp) = V(positive peak) - V(negative peak)
V(pp) = 3 + 1 = 4V",,41,2 \mathrm{V}_{0},3 \mathrm{V}_{0},1 \mathrm{V}_{0},4 \mathrm{V}_{0},,,,,4,,,,,,,
Referring to the previous question the average value will be,,moderate,V(average) $=(\mathrm{V} \text { (positive peak) }+\mathrm{V}(\text { negative peak })) / 2$ $\mathrm{V}(\text { average })=(3-1) / 2=1 \mathrm{V}_{0}$,,41,2 \mathrm{V}_{0},3 \mathrm{V}_{0},1 \mathrm{V}_{0},4 \mathrm{V}_{0},,,,,3,,,,,,,
Referring to the previous question the rms value will be,,difficult,"\begin{array}{l}
\left.\left.\mathrm{V}(\mathrm{RMS})=\sqrt{(} \mathrm{V}(\text { positive peak })^{2}+\mathrm{V}(\text { negative peak })^{2}\right) / 2 \times 2\right) \\
\mathrm{V}(\mathrm{RMS})=\sqrt{(}((9)+1) / 2 \times 2)) \\
\text { So } \\
\qquad \mathrm{V}(\mathrm{RMS})=\sqrt{(}(5) / 2)
\end{array}",,41,\mathrm{V}_{0} / \sqrt{2},\left.\mathrm{V}_{0} \sqrt{(} 2 / 5\right),\sqrt{(} 3 / 2) \mathrm{V}_{0},\sqrt{(} 5 / 2) \mathrm{V}_{0},,,,,4,,,,,,,
Two waveform are shown in the figure,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p16_Alternating_current/p16q39.PNG,moderate,From figure above we can see that V1 is leading V2 by angle of 90.,,41,V1 leads V2 by 90,V2 lags V2 by 90,V1 lags V2 by 90,Both A and B,,,,,4,,,,,,,
The current in resistance at resonance series circuit is,,easy,Current in the circuit is maximum as they the series resonance circuit will behave as resistive and the inductive and capacitive part cancel out each other.,,41,Minimum but finite,Maximum,Maximum but finite,Minimum,,,,,3,,,,,,,
Unit of impedance is,,easy,Unit of impedance is ohms = V/A,,41,V/A,VA,A/V,None of these,,,,,1,,,,,,,
Dimension of L/RC is same as that of,,difficult,"Energy stored in inductor $=(1 / 2) \mathrm{L} \mathrm{I}^{2}$
Energy stored in capacitor $=(1 / 2) \mathrm{CV}^{2}$
\[
\begin{array}{l}
(1 / 2) \mathrm{L} \mathrm{I}^{2}=(1 / 2) \mathrm{CV}^{2} \\
\mathrm{L} / \mathrm{C}=(\mathrm{V} / \mathrm{I})^{2} \\
\mathrm{L} / \mathrm{C}=\mathrm{R}^{2}
\end{array}
\]
$\mathrm{L} / \mathrm{CR}=\mathrm{R}$ hence proved",,41,L,C,R,None of these,,,,,3,,,,,,,
The impedance of a circuit consists of 3ohm resistance and 4 ohm reactance. The power factor of circuit is,,difficult,"First we need to find the angle
\[
\begin{array}{l}
\theta=\tan ^{-1}(\mathrm{X} / \mathrm{R}) \\
\mathrm\theta=53.13 \\
\mathrm{PF}=\cos \theta=\cos 53.13=0.6
\end{array}
\]",,41,0.4,0.8,0.6,1,,,,,3,,,,,,,
 A resistor and capacitor are connected in series with a voltage source having rms value of 5V. Voltage drop across resistor is 3V. What is the voltage across capacitor,,moderate,"     We know that
                   V = V(resistor) +V(capacitor)
                   V(capacitor) = V - V(resistor)
                    V(capacitor) = 5 -3 =2V",,41,1,2,3,4,,,,,4,,,,,,,
The advantage of 3 phase supply is,,easy," Advantages of 3 phase supply",,41,total load is divided,two voltage values,no phases is overloaded,All of these,,,,,4,,,,,,,
Which of the following is oscillator circuit?,,easy,LC circuit is also known as oscillator circuit.,,41,RC circuit,RL circuit,LC circuit,RLC circuit,,,,,3,,,,,,,
Which of the following have maximum wavelength?,,moderate,Radio waves have maximum wavelength and minimum energy,,41,X rays,Infrared rays,gamma rays,Radio waves,,,,,4,,,,,,,
Common terminal of 3 phase AC supply is always,,moderate,Common terminal of AC supply is always grounded. In a balanced three phase circuit no current flow from common terminal but there will be current flowing through the common terminal in an unbalanced circuit. In order to avoid any potential changes the terminal is grounded,,41,high potential,grounded,negative potential,positive potential,,,,,2,,,,,,,
The FM transmission frequency range is,,easy,Information,,41,540KHz to 1600KHz," 540MHz to 1600MHz",88MHz to 108MHz,88KHz to 108KHz,,,,,3,,,,,,,
Which one is the advantage of FM over AM?,,easy,Advantages of FM,,41,higher quality transmission,less effect of electric interference,long distance range,greater frequency bandwidth,,,,,3,,,,,,,
The low frequency signal in modulation process is,,easy,Modulation signal combine with carrier signal to form modulated signal.,,41,Modulated signal,"Carrier signal",Modulation signal,"None",,,,,3,,,,,,,
In the turning circuit of radio which component is not present?,,moderate,Parallel CL circuit is used in radio and so there is no resistor present in the circuit.,,41,variable capacitor,Inductor,Both A and B,Resistor,,,,,4,,,,,,,
Which of the following has relatively high elasticity,,easy,Steel has high elastic limit,,42,Rubber,Glass,Copper,Steel,,,,,4,,,,,,,
The unit of stress,,moderate,"We have the formula for stress
Stress = F/A
Hence unit is N/m^2",,42,N/m^2,Nm,Nm^2,no unit,,,,,1,,,,,,,
The unit of strain,,moderate,"We know that strain is the ratio of two similar quantities.
Strain $=\Delta \mathrm{L} / \mathrm{L},$ so strain is unit less.",,42,N/m,Nm,Nm^2,no unit,,,,,4,,,,,,,
The strain of the wire if its length change from ‘l’ to ‘2l’.,,moderate,"Strain=(change in length)/original length
Original length is l 
Change in length =2l-l=l
Hence Strain=l/l=1",,42,0,1,2,1/2,,,,,2,,,,,,,
"A wire is stretched by length l and the elastic limit of the material is not exceeded than then the energy stored will be
",,difficult,"By the curve we can see that when it is straight line rising up it is in the region of proportionality limit. Hence work done is the area of the triangle.
E=(1/2)(base)(height)
E=(1/2)(F)(l)",,42,FI,FI^2,(1/2)FI,(1/2)FI^2,,,,,3,,,,,,,
Materials that undergoes plastic deformation before breaking,,moderate,Property of Ductile is that it deformed its shape and then it break.,,42,Brittle,Ductile,Amorphous,Polymers,,,,,2,,,,,,,
Young’s modulus relates with the temperature,,moderate,With the increase in temperature the atomic size and vibrations change and atomic force decreases and hence Young modulus decreases.,,42,no relation,directly,inversely,None,,,,,3,,,,,,,
The shear modulus of liquid is,,easy,The shear modulus of liquid is,,42,0,3,1,Infinite,,,,,1,,,,,,,
The band theory of solids explains satisfactorily the nature of,,easy,"The energy band theory completely define conductor, semiconductor and insulators with the help of different energy bands.",,42,Electrical insulators,Electrical conductor,Electrical semiconductors,"All of these",,,,,4,,,,,,,
A hole in p type semiconductor represents,,moderate,In p type material there is hole present which indicate the absence of electron,,42,an excess electron,a missing electron,a missing atom,a donor level,,,,,2,,,,,,,
Material in which valance electron are tightly bound with atom with strong bond,,easy,Insulators are least conductive because of its strong bond with valence electrons which lead to no free electrons.,,42,Conductor,Insulators,semiconductor,None,,,,,2,,,,,,,
A ferrimagnet will become fully magnetize at,,moderate,Refer the diagram from book of hysteresis loss. A ferrimagnet reaches its saturation point when AC reaches to its peak.,,42,high voltage AC,AC at its peak value,low voltage AC,DC at peak value,,,,,2,,,,,,,
The energy occupied by the valence electron is called,,easy,Valence band definition according to the energy band theory,,42,Valence Band,Energy state,Energy state,conduction band,,,,,1,,,,,,,
"Any alternation produced in shape, length, area, volume of material subjected to some external force is termed as",,easy," Deformation refer to change in length area and volume due to some external force",,42,Deformation,"Stiffness",Extension,"Toughness",,,,,1,,,,,,,
A vacant or partially filled band is called,,easy,Forbidden band definition according to the energy band theory,,42,valence band,conduction band,forbidden band,empty band,,,,,2,,,,,,,
A completely filled band is termed as,,easy,"Core band definition according to the energy band theory
",,42,conduction band,core band,valence band,empty band,,,,,2,,,,,,,
In simple cube one atom lies at its,,moderate,Each atom is at the corner of a cube and 8 cubes meet at each corner. Therefore each atom is shared by 8 cubes,,42,8 corners,force corners,9 corners,4 corners,,,,,1,,,,,,,
Energy required to magnetize and demagnetize the material is called,,moderate,Energy required is the area of hysteresis loop to magnetize and demagnetize the material.,,42,hysteresis curve,"hysteresis loop",straight line,hysteresis loop area,,,,,4,,,,,,,
Magnetic field of low strength are detected by,,easy,Magnetic Resonance Imaging (MRI) is specially designed to detect magnetic field of very low strength.,,42,CRI,MRI,Squids,Oscilloscope,,,,,2,,,,,,,
In semiconductors the charge carrier are,,moderate,Semiconductors contains holes and electrons both moving in opposite direction when applied some potential difference across it. So charge carrier are both electron and holes.,,42,electrons  ,holes,electrons and holes,None,,,,,3,,,,,,,
Holes can exit in,,easy,Conductors contain free electrons and in insulator there are no free electrons. Only semiconductors contain holes.,,42,Semiconductors," Insulator",Conductors,All,,,,,1,,,,,,,
With the increase in temperature the electrical conductivity of intrinsic semi-conductor is,,difficult,With the increase in temperature the electrons in the valence shell gain enough Kinetic Energy (KE) that they break the bond with the nucleus and become available for conduction. That’s why increase in temperature of intrinsic semiconductors could lead to increase in conductivity.,,42,Decreased," Increased",First increase than decrease,Same,,,,,2,,,,,,,
 Two wires having same length is subjected to same force that elongates them. If the elongation of A is greater than B. then ,,moderate,Wire B is considered to be more elastic as it has the ability to return back and retain its original position and require more force to deform it. Hence wire B is more elastic than A,,42,A is more elastic than B,B is more elastic than A,both have equal elasticity,A is elastic and B is plastic,,,,,2,,,,,,,
Electrons in the conduction band is free to,,easy,Electrons in the conduction band are free to move and start to move in a particular direction when exposed to some potential difference.,,42,transport signals," transport vibrations",transport charge," transport impulses",,,,,3,,,,,,,
Which of the following is not a crystalline solid?,,easy,Nylon is a polymer and contains long chain of atoms and molecules. Atoms and molecules are not arranged in highly ordered form. Hence it is not a crystalline solid.,,42,Zirconia,NaCl,Zinc,Nylon,,,,,4,,,,,,,
The breaking stress depends upon,,easy,"Breaking stress depends on the material of which the wire is made of. Based on the material they are classified into ductile, brittle materials",,42,Area of cross section,length of wire,Material of wire,"diameter of wire",,,,,3,,,,,,,
A wire breaks if F of 50N is applied. Now if the wire is cut into two half. What force is require to break it,,moderate,Referring to previous question the break stress only depend on the material of wire. No matter how we change the length the break stress will remain the same and so do force.,,42,100N,50N,200N,insufficient information,,,,,2,,,,,,,
The unit of stress is same as that of,,easy,"Pressure=F/A
Bulk modulus = stress/ strain = F/A
Energy density =energy/volume=Nm/m^2= Nm^{-2}= stress",,42,bulk modulus,Pressure,Energy Density,All,,,,,4,,,,,,,
"A wire of radius r and breaking force F is stretched in such a way that its radius becomes half, the new breaking force will be",,difficult,"\begin{array}{l}
\mathrm{F}=\text { stress } \mathrm{x} \text { Area } \\
\mathrm{F}=\text { stress } \mathrm{x} \pi \mathrm{r}^{2} \\
\mathrm{F}=\operatorname{stress} \mathrm{x} \pi(1 / 2 \mathrm{r})^{2} \\
\mathrm{F}=\operatorname{stress} \mathrm{x} \pi \mathrm{r}^{2}(1 / 4) \\
\mathrm{F}_{\mathrm{arw}}=\mathrm{F}_{\mathrm{old}}(1 / 4)
\end{array}",,42,F/2,F/4,FA,None,,,,,2,,,,,,,
Stress is given by,,easy,Formula of stress,,42,FI,F/A,FA,F/l,,,,,2,,,,,,,
The ratio of tensile stress to volume stress has same units as that of,,easy,The ratio of tensile stress to volume stress has no units as it is a ratio of two quantities with same unit. Refractive index is also the ratio of two similar quantities and has no units.,,42,Length,Volume,Area,Refractive Index,,,,,4,,,,,,,
If the length of wire is doubled by applying force. The strain produced is,,moderate,"let’s say it has original length l.
Length changes from l to 2l.
Hence strain = change in length/ original length
Strain = (2l – l)/l =1",,42,1/2,1,2,0,,,,,2,,,,,,,
Modulus of elasticity depends on,,moderate,"The modulus of elasticity is given by
Modulus of elasticity = stress / strain
Hence it depends on material of wire, impurities of wire and temperature under which force is applied.",,42,Material of wire,temperature,Impurities added to wire,all,,,,,4,,,,,,,
"The ratio of compressive stress to compressive strain is",,easy,Compressive strain refers to change in length. Young’s Modulus deals with change in length.,,42,Young’s modulus,bulk modulus,Shear modulus,Modulus of rigidity,,,,,1,,,,,,,
In order to obtain great extension the wire should be,,easy,Great extension can be obtained by increasing the length and area of the wire.,,42,thick and long,thin and long,thick and short,thin and short,,,,,1,,,,,,,
"Modulus of elasticity of rigid body is",,difficult,"In a rigid body atoms and molecules are tightly bound to nucleus so the change is zero
and modulus of elasticity becomes infinite.
Modulus of elasticity= stress/strain
= stress / (change in length/ original length)
$=(\text { stress } \times \text { original length }) /$ change in length
\[
\begin{array}{l}
=(\text { stress } \times \text { original length }) / 0 \\
=\text { infinity }
\end{array}
\]",,42,0,Infinite,Large,Small,,,,,2,,,,,,,
Which one is more elastic,,easy,"Steel is more elastic than the other elements as it has high tendency to deform and retain its original size when expose to great force.",,42,Rubber,Lead,Steel,Glass,,,,,3,,,,,,,
Shear modulus of water is,,easy,"Shear modulus of liquid is zero
We know that
Shear modulus = stress/strain
Shear modulus = stress x change in volume/original volume
For liquids the change in volume is zero and volume remains constant.",,42,0,2.2 \times 10^{9},Undefined,None,,,,,1,,,,,,,
The reciprocal of bulk modulus is,,easy,The reciprocal of bulk modulus is,,42,Stiffness,"Compressibility",Toughness,Hardness,,,,,2,,,,,,,
Young’s modulus also named as,,easy,Young’s modulus also known as tensile modulus,,42,Bulk modulus,Shear modulus,Modulus of rigidity,tensile modulus,,,,,4,,,,,,,
Curve X graph in the diagram below represent which substance,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p17_Physics_of_solids/p17q41.PNG,difficult,Ductile substance possess plastic region while in curve Y it represents brittle substance that does not possess the plastic region,,42,Brittle,"Ductile",Rubber,None,,,,,2,,,,,,,
Curve Y graph in the diagram above represent which substance,,moderate,Ductile substance possess plastic region while in curve Y it represents brittle substance that does not possess the plastic region,,42,Brittle,"Ductile",Rubber,None,,,,,1,,,,,,,
The area under the stress strain curve represents,,moderate,"Area of stress strain curve = constant x stress x strain
Units = N/m^2
Energy density = Work/volume = Nm/m^2 = N/m^2",,42,Shear Modulus," Energy stored",Work done during deformation,Energy Density,,,,,4,,,,,,,
Which of the following is a brittle substance?,,easy,High carbon steel resembles rigid object. We know that the rigid substances are classified as brittle substance that does not possess plastic region in a stress strain curve.,,42,High carbon steel,Wrought iron,Lead,All of these,,,,,1,,,,,,,
In the following figure the plasticity region lies from,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p17_Physics_of_solids/p17q45.PNG,moderate,Plasticity region is the region in which a wire can have the ability to come back and retain its original shape after exposed to some external force.,,42,O to A,C to D,A to B,O to C,,,,,4,,,,,,,
Referring to the previous question Hook’s law obeyed from,,moderate,"According to Hook's law
\[
\mathrm{F}=\mathrm{kx}
\]
$\mathrm{F} \times \mathrm{x} \quad$ that is a straight line
And the region that obeys hook's law is from $\mathrm{O}$ to $\mathrm{A}$ as we can see from the graph.",,42,O to A,C to D,A to B,O to C,,,,,1,,,,,,,
A force of 2N increase the length of wire by 1mm. how much force is required to increase the length by 2mm,,difficult,"According to Hook's law
\[
\begin{array}{l}
\mathrm{F}=\mathrm{kx} \\
\mathrm{k}=\mathrm{F} / \mathrm{x}=2 / 10^{-3}=2 \mathrm{x} 10^{3}
\end{array}
\]
now, again applying Hook's law
\[
\mathrm{F}=2 \times 10^{3} \times 2 \times 10^{-3}
\]
\[
\mathrm{F}=4 \mathrm{N}
\]",,42,20N,200N,2N,4N,,,,,4,,,,,,,
"A stress of $200 \times 10^{5} \mathrm{Pa}$ is applied to rod of length $2 \mathrm{m}$ long through a mass of $5000 \mathrm{kg}$. If
the linear strain of the rod is $10^{-4}$ then Young's Modulus is",,moderate,"We know the formula for Young's modulus
\[
Y=\operatorname{stress} / \text { strain }
\]
$Y=(F / A) /$ change in length/original length
\[
\begin{array}{l}
Y=\left(200 \times 10^{5}\right) /\left(10^{-4}\right) \\
Y=200 \times 10^{9} \mathrm{Pa}
\end{array}
\]",,42,1.5 \times 10^{-4} \mathrm{Pa},200 \times 10^{9} \mathrm{Pa},2 \times 10^{4} \mathrm{Pa},1.5 \times 10^{4} \mathrm{Pa},,,,,2,,,,,,,
"In the following graph, what is ratio of $Y_{A} / Y_{B}$",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p17_Physics_of_solids/p17q49.PNG,difficult,"A makes angle with y axis $=60$
B makes angle with y axis=30
By the formula of shear modulus
$\mathrm{G}_{\mathrm{B}}=(\text { stress }) / \tan 30$
$\mathrm{G}_{\mathrm{A}}=\operatorname{str} \mathrm{ess} / \mathrm{tan} 60$
Now take the ratio
$\mathrm{G}_{\mathrm{A}} / \mathrm{G}_{\mathrm{B}}=\tan 30 / \tan 60$
$\mathrm{G}_{\mathrm{A}} / \mathrm{G}_{\mathrm{B}=} 1 / 3$",,42,1:3,1: \sqrt{3},3:1,\sqrt{3}: 1,,,,,1,,,,,,,
Which of the following is the application of superconductor?,,easy,Superconductors are type of conductors whose resistance become zero below a particular temperature and all above are the application of superconductors.,,42,MRI,Super Computers,Small Motors,All of these,,,,,4,,,,,,,
The phenomenon in which magnetism lags behind the magnetizing current is called,,easy,Definition of Hysteresis,,42,Saturation," Hysteresis",Retentivity,None,,,,,2,,,,,,,
The main source of magnetism is,,easy," the effect of magnetism is caused by spin as well as the orbital motion of electron.
We know that charge in motion will result in electric and magnetic field",,42, spin motion of neutron,spin motion of electron,Orbital motion of electron,Both B and C,,,,,4,,,,,,,
The net charge present on p type substance is,,easy,"p and n type materials are NOT positively and negatively charged. An n-type material by itself has mainly negative charge carriers (electrons) which are able to move freely, but it is still neutral because the fixed donor atoms, having donated electrons, are positive.",,42,negative,positive,neutral,None,,,,,3,,,,,,,
 The majority charge carrier in n type substance are,,easy,"n type substance have excess electrons so electron is used as a charge carrier.",,42,positive charges,electron,Holes,None,,,,,2,,,,,,,
"Young's modulus of the wire is $2 \times 10^{11} \mathrm{N} / \mathrm{m}^{2}$ having length of 1 meter and cross
sectional area of $1 \mathrm{mm}^{2}$. The work required to increase the length by 2 um is",,difficult,"We know the formula
$\mathrm{E}=(1 / 2)$ stress $\mathrm{x}$ strain
\[
\begin{array}{l}
\mathrm{E}=(1 / 2)(\text { stress } / \text { strain })(\text { strain })^{2} \\
\mathrm{E}=(1 / 2)(\text { Young Modulus })\left(2 \mathrm{x} 10^{-6} / 1\right)^{2} \\
\mathrm{E}=0.4 \mathrm{J}
\end{array}
\]",,42,0.2J,0.4J,0.8j,None,,,,,2,,,,,,,
Energy stored in deformed material is in the form of,,easy,Energy stored due to the position is Potential energy (PE). When we deform a material energy is stored and when we realizes the applied force the material turns to come back to its original position and this energy is comes from stored PE.,,42,Electrical Energy,KE,PE,None,,,,,3,,,,,,,
A pn junction is forward biased when,,easy,"Basic principle of forward biased. A p junction must be connected to positive terminal and n junction must be connected to negative. In reverse biased condition it will not allow the current to flow through itself
",,43,p junction is connected with positive terminal,n junction is connected with negative terminal,both p and n junction is connected with positive terminal,Both A and B,,,,,4,,,,,,,
"In a forward biased condition of pn junction, then the width of depletion region 
",,moderate,In a forward biased condition the electrons are attracted towards the positive terminal of the battery and positive ions attracted towards negative terminal of the battery and so the formation of electron proton decreases and hence the depletion region decreases,,43,Increase,Decreases,Unchanged,is variable,,,,,2,,,,,,,
Circuit use to convert pulsing DC to pure DC,,easy,Filters converts pulsing DC to pure DC,,43,Filters,Converter,Rectifier,Inverter,,,,,1,,,,,,,
In pnp transistor the width of _______ is thinnest relative to others,,moderate,In pnp transistor the width of base is thinnest so that minimum current will flow through it.,,43,Collector,Emitter,Base,Inverter,,,,,3,,,,,,,
Seven segment display is an application of,,easy,LED is used in a seven segment display.,,43,LED,Transistor,LCD,Photodiode,,,,,1,,,,,,,
How many diodes are required in full wave rectification?,,easy,So the total of 4 diodes are required for full wave rectification. Refer book for complete understanding of full wave rectification.,,43,2,1,4,3,,,,,3,,,,,,,
A diode in reverse biased state has resistance in order of,,moderate,In a reverse biased condition it is very difficult to pass current through it and so act as an open circuit. The reason is that in reverse biased condition the circuit offer resistance which is very large and of the order of mega ohms.,,43,mega ohms,kilo ohms,milli ohms,ohms,,,,,1,,,,,,,
The practical application of transistor is,,easy,Transistor are used for amplification of signal and used as switch,,43,Filters,Amplifier,Switches,Both B and C,,,,,4,,,,,,,
The relation of current gain in pnp transistor,,easy,"We know the formula of gain
\[
\text { Current gain }=\left(\mathrm{I}_{\mathrm{c}} / \mathrm{I}_{\mathrm{B}}\right)
\]",,43,\mathrm{I}_{\mathrm{B}} / \mathrm{I}_{\mathrm{C}},\mathrm{I}_{\mathrm{C}} / \mathrm{I}_{\mathrm{B}},\mathrm{V}_{\mathrm{B}} / \mathrm{I}_{\mathrm{C}},\mathrm{I}_{\mathrm{B}} / \mathrm{V}_{\mathrm{C}},,,,,2,,,,,,,
The graph of diode characteristics is the plot between,,moderate,The characteristics of diode can be find out by plot between V and I,,43,V and I,V and t,I and t,none,,,,,1,,,,,,,
The diode for the detection of light and automatic switching,,easy,Photodiode is used for light detection and automatic switching,,43,LED,Photodiode,Transistors,Photovoltaic cell,,,,,2,,,,,,,
